product_id,merchant_title,shopify_variant_title,fresh_missing_required_attrs,current_sizes,current_age_group,current_gender,suggested_sizes,suggested_age_group,suggested_gender,decision_state,selected_for_apply,decision_reasons,write_scope_if_approved,rollback_required_before_write
online:pt:BR:ST67,Calça Saint Studio Jeans Baggy Risca de Giz Azul,44,,44,adult,unisex,44,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:ST85,Camisa Saint Studio Pima Listrada Azul,L/G,,L/G,adult,unisex,L/G,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:ST86,Camisa Saint Studio Pima Listrada Azul,S/P,,S/P,adult,unisex,S/P,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:ST87,Camisa Saint Studio Pima Listrada Azul,M/M,,M/M,adult,unisex,M/M,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:ST88,Camisa Saint Studio Pima Listrada Azul,XL/GG,,XL/GG,adult,unisex,XL/GG,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:5209-1,Camiseta Dane-se x Rubem Valentim Emblema 78 Bordo,G/L,,G/L,adult,unisex,G/L,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:5389-1,Camiseta Dane-se x Rubem Valentim Praça da Sé Off White,P/S,,P/S,adult,unisex,P/S,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:5389-2,Camiseta Dane-se x Rubem Valentim Praça da Sé Off White,M,,M,adult,unisex,M,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:5389-3,Camiseta Dane-se x Rubem Valentim Praça da Sé Off White,G/L,,G/L,adult,unisex,G/L,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:5362-2,"Camiseta Oversized Dane-se Pare, Respire Off White",M,,M,adult,unisex,M,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:5362-3,"Camiseta Oversized Dane-se Pare, Respire Off White",G/L,,G/L,adult,unisex,G/L,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:YR0044,Camiseta Pace Buero Off White,L/G,,L/G,adult,unisex,L/G,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:YR0045,Camiseta Pace Buero Off White,S/P,,S/P,adult,unisex,S/P,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:YR0046,Camiseta Pace Buero Off White,M/M,,M/M,adult,unisex,M/M,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:YR0047,Camiseta Pace Buero Off White,XL/GG,,XL/GG,adult,unisex,XL/GG,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:ST55,Camiseta Saint Studio Boxy Supima Cool Branco,L/G,,L/G,adult,unisex,L/G,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:ST56,Camiseta Saint Studio Boxy Supima Cool Branco,S/P,,S/P,adult,unisex,S/P,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:ST57,Camiseta Saint Studio Boxy Supima Cool Branco,M/M,,M/M,adult,unisex,M/M,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:ST58,Camiseta Saint Studio Boxy Supima Cool Branco,XL/GG,,XL/GG,adult,unisex,XL/GG,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:ST51,Camiseta Saint Studio Boxy Supima Mid Century Branco,L/G,,L/G,adult,unisex,L/G,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:ST52,Camiseta Saint Studio Boxy Supima Mid Century Branco,S/P,,S/P,adult,unisex,S/P,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:ST53,Camiseta Saint Studio Boxy Supima Mid Century Branco,M/M,,M/M,adult,unisex,M/M,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:ST54,Camiseta Saint Studio Boxy Supima Mid Century Branco,XL/GG,,XL/GG,adult,unisex,XL/GG,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:ST59,Camiseta Saint Studio Boxy Supima Off Gola Vermelha Branco,L/G,,L/G,adult,unisex,L/G,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:ST60,Camiseta Saint Studio Boxy Supima Off Gola Vermelha Branco,S/P,,S/P,adult,unisex,S/P,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:ST61,Camiseta Saint Studio Boxy Supima Off Gola Vermelha Branco,M/M,,M/M,adult,unisex,M/M,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:ST62,Camiseta Saint Studio Boxy Supima Off Gola Vermelha Branco,XL/GG,,XL/GG,adult,unisex,XL/GG,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:SLCRCVNV-1,Camiseta Slyce Racquet Club Azul Marinho,P/S,,P/S,adult,unisex,P/S,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:SLCRCVNV-2,Camiseta Slyce Racquet Club Azul Marinho,M,,M,adult,unisex,M,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:SLCRCVNV-3,Camiseta Slyce Racquet Club Azul Marinho,G/L,,G/L,adult,unisex,G/L,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:SLCRBVNV-1,Camiseta Slyce Racquet Club Bordada Azul Marinho,P/S,color,P/S,adult,unisex,,,,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:SLCRBVNV-2,Camiseta Slyce Racquet Club Bordada Azul Marinho,M,color,M,adult,unisex,,,,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:SLCRBVNV-3,Camiseta Slyce Racquet Club Bordada Azul Marinho,G/L,color,G/L,adult,unisex,,,,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:SLCRBVOW-1,Camiseta Slyce Racquet Club Bordada Off White,P/S,,P/S,adult,unisex,P/S,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:SLCRBVOW-2,Camiseta Slyce Racquet Club Bordada Off White,M,,M,adult,unisex,M,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:SLCRBVOW-3,Camiseta Slyce Racquet Club Bordada Off White,G/L,,G/L,adult,unisex,G/L,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:4150233_0090_356-1,Chinelo Havaianas Top Dolce & Gabbana Banano Verde,35/36,,35/36,adult,unisex,35/36,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:4150233_0090_356-2,Chinelo Havaianas Top Dolce & Gabbana Banano Verde,37/38,,37/38,adult,unisex,37/38,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:4150233_0090_356-3,Chinelo Havaianas Top Dolce & Gabbana Banano Verde,39/40,,39/40,adult,unisex,39/40,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:4150233_0090_356-4,Chinelo Havaianas Top Dolce & Gabbana Banano Verde,41/42,,41/42,adult,unisex,41/42,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:4150234_3581_412-1,Chinelo Havaianas Top Dolce & Gabbana Faux Fur Leopardo Marrom,35/36,,35/36,adult,unisex,35/36,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:4150234_3581_412-3,Chinelo Havaianas Top Dolce & Gabbana Faux Fur Leopardo Marrom,39/40,,39/40,adult,unisex,39/40,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:4150234_3581_412-4,Chinelo Havaianas Top Dolce & Gabbana Faux Fur Leopardo Marrom,41/42,,41/42,adult,unisex,41/42,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:4150234_0121_412-1,Chinelo Havaianas Top Dolce & Gabbana Faux Fur Zebra Preto,35/36,,35/36,adult,unisex,35/36,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:4150234_0121_412-2,Chinelo Havaianas Top Dolce & Gabbana Faux Fur Zebra Preto,37/38,,37/38,adult,unisex,37/38,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:4150234_0121_412-3,Chinelo Havaianas Top Dolce & Gabbana Faux Fur Zebra Preto,39/40,,39/40,adult,unisex,39/40,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:4150234_0121_412-4,Chinelo Havaianas Top Dolce & Gabbana Faux Fur Zebra Preto,41/42,,41/42,adult,unisex,41/42,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:4150235_0076_390-1,Chinelo Havaianas Top Dolce & Gabbana Florals Rosa,35/36,,35/36,adult,unisex,35/36,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:4150235_0076_390-2,Chinelo Havaianas Top Dolce & Gabbana Florals Rosa,37/38,,37/38,adult,unisex,37/38,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:4150235_0076_390-3,Chinelo Havaianas Top Dolce & Gabbana Florals Rosa,39/40,,39/40,adult,unisex,39/40,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:4150235_0076_390-4,Chinelo Havaianas Top Dolce & Gabbana Florals Rosa,41/42,,41/42,adult,unisex,41/42,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:2000415173436-1,Mule Lululemon SwayDay Blissful Pink Rosa,34,,34,adult,unisex,34,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:2000415173436-10,Mule Lululemon SwayDay Blissful Pink Rosa,43,,43,adult,unisex,43,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:2000415173436-2,Mule Lululemon SwayDay Blissful Pink Rosa,35,,35,adult,unisex,35,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:2000415173436-3,Mule Lululemon SwayDay Blissful Pink Rosa,36,,36,adult,unisex,36,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:2000415173436-4,Mule Lululemon SwayDay Blissful Pink Rosa,37,,37,adult,unisex,37,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:2000415173436-5,Mule Lululemon SwayDay Blissful Pink Rosa,38,,38,adult,unisex,38,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:2000415173436-6,Mule Lululemon SwayDay Blissful Pink Rosa,39,,39,adult,unisex,39,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:2000415173436-7,Mule Lululemon SwayDay Blissful Pink Rosa,40,,40,adult,unisex,40,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:2000415173436-8,Mule Lululemon SwayDay Blissful Pink Rosa,41,,41,adult,unisex,41,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:2000415173436-9,Mule Lululemon SwayDay Blissful Pink Rosa,42,,42,adult,unisex,42,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:BB0231S-005,Oculos de Sol Balenciaga BB0231S-005 Branco,Default Title,age group; gender,,,,,adult,unisex,blocked_suggestion_not_exact_3field,False,suggested fields outside pilot contract,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:1183C233-250-1,Onitsuka Tiger Mexico 66 Paraty Natural Navy Bege,34,,34,adult,unisex,34,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:1183C233-250-10,Onitsuka Tiger Mexico 66 Paraty Natural Navy Bege,43,,43,adult,unisex,43,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:1183C233-250-2,Onitsuka Tiger Mexico 66 Paraty Natural Navy Bege,35,,35,adult,unisex,35,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:1183C233-250-3,Onitsuka Tiger Mexico 66 Paraty Natural Navy Bege,36,,36,adult,unisex,36,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:1183C233-250-5,Onitsuka Tiger Mexico 66 Paraty Natural Navy Bege,38,,38,adult,unisex,38,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:1183C233-250-6,Onitsuka Tiger Mexico 66 Paraty Natural Navy Bege,39,,39,adult,unisex,39,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:1183C233-250-8,Onitsuka Tiger Mexico 66 Paraty Natural Navy Bege,41,,41,adult,unisex,41,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:1183C233-250-9,Onitsuka Tiger Mexico 66 Paraty Natural Navy Bege,42,,42,adult,unisex,42,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:1183C468200-1,Onitsuka Tiger Mexico 66 SD Metallic Series Desert Camp Cream Dourado,34,,34,adult,unisex,34,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:1183C468200-3,Onitsuka Tiger Mexico 66 SD Metallic Series Desert Camp Cream Dourado,36,,36,adult,unisex,36,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:1183C468200-4,Onitsuka Tiger Mexico 66 SD Metallic Series Desert Camp Cream Dourado,37,,37,adult,unisex,37,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:1183C468200-5,Onitsuka Tiger Mexico 66 SD Metallic Series Desert Camp Cream Dourado,38,,38,adult,unisex,38,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:1183C468200-8,Onitsuka Tiger Mexico 66 SD Metallic Series Desert Camp Cream Dourado,41,,41,adult,unisex,41,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:1183C468200-9,Onitsuka Tiger Mexico 66 SD Metallic Series Desert Camp Cream Dourado,42.5,,42.5,adult,unisex,42.5,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:1183C468020-1,Onitsuka Tiger Mexico 66 SD Metallic Series Metropolis Cream Cinza,34,,34,adult,unisex,34,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:1183C468020-2,Onitsuka Tiger Mexico 66 SD Metallic Series Metropolis Cream Cinza,35,,35,adult,unisex,35,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:1183C468020-3,Onitsuka Tiger Mexico 66 SD Metallic Series Metropolis Cream Cinza,36,,36,adult,unisex,36,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:1183C468020-4,Onitsuka Tiger Mexico 66 SD Metallic Series Metropolis Cream Cinza,37,,37,adult,unisex,37,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:1183C468020-5,Onitsuka Tiger Mexico 66 SD Metallic Series Metropolis Cream Cinza,38,,38,adult,unisex,38,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:1183C468020-7,Onitsuka Tiger Mexico 66 SD Metallic Series Metropolis Cream Cinza,40,,40,adult,unisex,40,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:1183C468020-8,Onitsuka Tiger Mexico 66 SD Metallic Series Metropolis Cream Cinza,41,,41,adult,unisex,41,adult,unisex,skipped_not_freshly_missing_target_attrs,False,fresh status does not currently flag target attrs,"sizes + ageGroup + gender only, exact online Merchant product resource, products.insert upsert",True
